accrate times,accrate,average times,average density,average vinfinity,average cinfinity,average temperature,HL radius,BH mass
8981.600000000002,0.000469,3060.8596934627835,3365480.0,2.7368,0.5025777,484.0646,0.007099514,271.6058
9096.325000000003,0.0005,3111.1545367356666,3440010.0,2.745833,0.5065168,491.6829,0.007053842,271.6407
9280.479000000003,0.000518,3161.4493800085493,4231690.0,3.118914,0.5648401,611.433,0.005467928,271.6679
9396.722000000003,0.00058,3211.744223281432,4267730.0,3.089668,0.567452,617.1016,0.005572484,271.7062
9562.412000000004,0.000598,3262.0390665543146,4276920.0,3.059721,0.5851037,656.0917,0.005682891,271.745
9680.175000000005,0.000628,3312.333909827197,4217700.0,3.016538,0.6161682,727.6088,0.00584759,271.7826
9821.128000000004,0.000607,3362.62875310008,4173490.0,2.975847,0.6392434,783.1274,0.006009424,271.8223
9940.116000000004,0.000592,3412.9235963729625,4117520.0,2.945891,0.6577205,829.0544,0.00613315,271.8519
10103.120000000004,0.000615,3463.2184396458456,4046600.0,2.876692,0.6744782,871.8398,0.006432459,271.8927
10222.662000000004,0.000658,3513.5132829187282,3992950.0,2.825436,0.6854729,900.4964,0.006668952,271.9344
10388.346000000003,0.000736,3563.808126191611,3940710.0,2.78439,0.6946634,924.8058,0.006868069,271.9693
10541.217000000002,0.000773,3614.1029694644935,3879540.0,2.716153,0.7009715,941.6793,0.007218409,272.0143
10659.094000000003,0.000807,3664.397812737376,3830700.0,2.658581,0.7054691,953.8032,0.007535663,272.0615
10825.745000000003,0.000802,3714.692656010259,3767350.0,2.620393,0.710688,967.9682,0.007758244,272.0943
10941.605000000003,0.000812,3764.9874992831415,2930460.0,2.349047,0.635886,774.9295,0.009655272,272.1385
11079.974000000004,0.000771,3815.2823425560246,2878560.0,2.32249,0.6380869,780.3036,0.009878946,272.164
11194.915000000005,0.000785,3865.577185828907,2864370.0,2.265381,0.633139,768.2501,0.01038427,272.212
11308.894000000004,0.000765,3915.87202910179,2799230.0,2.209346,0.6323438,766.3224,0.01091961,272.2624
11481.756000000003,0.000567,3966.1668723746725,2746480.0,2.184876,0.6334659,769.0451,0.01116763,272.2928
11593.315000000002,0.000499,4016.461715647555,2735030.0,2.135567,0.6254166,749.626,0.01169059,272.3475
11768.692000000003,0.000581,4066.756558920438,2668630.0,2.088631,0.622185,741.9001,0.01222435,272.4048
11944.251000000002,0.000577,4117.05140219332,2614910.0,2.070478,0.6219065,741.2366,0.01244226,272.4391
12051.917000000001,0.000539,4167.346245466203,2591380.0,2.030258,0.6092625,711.4037,0.01294172,272.5002
12237.500000000002,0.000536,4217.641088739086,2520090.0,1.98762,0.604493,700.3101,0.01350593,272.5677
12343.974000000002,0.000541,4267.935932011968,2456820.0,1.978149,0.6060886,704.0124,0.01363894,272.5952
12517.258000000002,0.000542,4318.230775284851,2448580.0,1.937158,0.5906802,668.6725,0.01422368,272.6668
12623.871000000001,0.000551,4368.525618557734,2378240.0,1.896132,0.5862986,658.7897,0.01484973,272.7408
12817.173,0.000581,4418.820461830616,2301860.0,1.897317,0.5883737,663.4616,0.01483521,272.7534
12924.715,0.000614,4469.115305103499,2319800.0,1.85494,0.5720462,627.1507,0.01552147,272.8263
13118.47,0.000625,4519.4101483763825,2256840.0,1.81616,0.5689013,620.2749,0.01619571,272.8967
13273.744999999999,0.000641,4569.704991649265,2183900.0,1.809958,0.5716398,626.261,0.0163111,272.9221
13386.180999999999,0.000661,4619.999834922148,2190410.0,1.763541,0.5550467,590.4323,0.01718259,272.997
13582.462,0.000674,4670.29467819503,2138610.0,1.722184,0.5521143,584.2109,0.01802269,273.0757
13706.25,0.000698,4720.589521467913,2059050.0,1.71598,0.5548149,589.9403,0.01815847,273.1071
13911.833,0.000674,4770.884364740796,2073020.0,1.668147,0.5377023,554.1102,0.01921695,273.1976
14035.634,0.00068,4821.179208013678,1981580.0,1.670514,0.5414206,561.8006,0.01916887,273.2218
14217.563,0.000721,4871.474051286561,2011100.0,1.628848,0.5270825,532.4396,0.02016386,273.3158
14341.624,0.000759,4921.768894559444,1964930.0,1.604355,0.5245009,527.2374,0.02079135,273.4109
14522.288,0.000768,4972.063737832326,1881720.0,1.609605,0.5299445,538.2383,0.0206631,273.4493
14656.375,0.000791,5022.358581105209,1910700.0,1.585564,0.5170638,512.3924,0.02129743,273.5446
14764.963,0.000802,5072.6534243780925,1879000.0,1.582732,0.5140331,506.4041,0.02138114,273.6387
14888.328,0.000821,5122.948267650975,1820430.0,1.600757,0.5189576,516.1536,0.02090951,273.6815
15011.536,0.000832,5173.243110923858,1844510.0,1.601258,0.513784,505.914,0.02089967,273.7454
15190.904,0.000838,5223.53795419674,1876440.0,1.609623,0.5043937,487.5907,0.02068782,273.8357
15314.2,0.000746,5273.832797469623,1905120.0,1.636114,0.5037804,486.4062,0.02002988,273.9229
15487.387,0.00075,5324.127640742506,1874780.0,1.671037,0.5084334,495.4332,0.01920753,273.9656
15610.83,0.000772,5374.422484015388,1476100.0,1.685763,0.4232534,343.3353,0.01887635,274.0209
15732.997,0.000784,5424.717327288271,1529320.0,1.696619,0.421932,341.1951,0.01863929,274.0766
15908.57,0.000792,5475.012170561154,1880230.0,1.825344,0.4443228,378.369,0.01610633,274.1139
16029.485999999999,0.000816,5525.307013834036,1943950.0,1.831483,0.4378985,367.5071,0.01600069,274.1785
16180.467999999999,0.000813,5575.601857106919,1942960.0,1.846098,0.4453135,380.0589,0.01575206,274.2166
16300.526,0.000752,5625.896700379802,2008260.0,1.853597,0.4390657,369.4695,0.01562702,274.2799
16420.49,0.000769,5676.191543652684,2044880.0,1.868222,0.4388895,369.1735,0.01538684,274.3379
16596.174000000003,0.000694,5726.486386925567,2059450.0,1.879726,0.444697,379.0085,0.01520228,274.3799
16715.518000000004,0.000726,5776.78123019845,2115700.0,1.886502,0.4402134,371.4047,0.01509555,274.4375
16890.054000000004,0.00067,5827.076073471333,2152390.0,1.895556,0.4397764,370.6682,0.01495482,274.495
17019.288000000004,0.000687,5877.370916744216,2154770.0,1.903476,0.4467986,382.6003,0.01483372,274.5306
17137.118000000006,0.000761,5927.665760017098,2217400.0,1.904644,0.4405344,371.9478,0.01481744,274.5889
17311.748000000007,0.000817,5977.960603289981,2254090.0,1.908823,0.4399164,370.9053,0.01475575,274.6477
17428.91700000001,0.000905,6028.255446562864,2274040.0,1.911164,0.4440942,377.984,0.01472275,274.6952
17588.557000000008,0.00105,6078.550289835746,2325500.0,1.911247,0.4400561,371.1417,0.01472401,274.76
17705.210000000006,0.00117,6128.845133108629,2362590.0,1.911215,0.4393385,369.9328,0.01472797,274.826
17880.061000000005,0.00128,6179.139976381512,2377380.0,1.91136,0.443341,376.7041,0.01472924,274.8783
17996.215000000004,0.00153,6229.434819654394,2429430.0,1.908828,0.439091,369.5167,0.01477115,274.9472
18170.525000000005,0.00161,6279.729662927277,2402550.0,1.914014,0.4460835,381.3798,0.01469488,274.9749
18296.369000000006,0.00174,6330.0245062001595,2480800.0,1.903656,0.4386326,368.7463,0.01485672,275.0467
18411.982000000007,0.00184,6380.319349473042,2518020.0,1.901789,0.4377168,367.2085,0.01488976,275.1211
18587.421000000006,0.00186,6430.614192745925,2519930.0,1.90279,0.4423649,375.049,0.0148781,275.173
18702.126000000007,0.00191,6480.909036018808,2582510.0,1.894969,0.4370998,366.1747,0.01500398,275.2534
18878.369000000006,0.00186,6531.203879291691,2626200.0,1.892705,0.4356953,363.8258,0.01504428,275.3398
18999.808000000005,0.00192,6581.498722564574,2601430.0,1.896961,0.4433785,376.7708,0.01498154,275.3825
19112.847000000005,0.00198,6631.793565837456,2577330.0,1.900221,0.446911,382.7985,0.01493249,275.3956
19291.094000000005,0.00211,6682.088409110339,2694000.0,1.892492,0.4351,362.8331,0.01505541,275.4785
19403.458000000006,0.00216,6732.383252383222,2735800.0,1.892664,0.4350343,362.7241,0.01505718,275.5626
19603.585000000006,0.00203,6782.678095656104,2704220.0,1.897542,0.4433549,376.7322,0.01498444,275.6011
19715.470000000005,0.00188,6832.972938928987,2799460.0,1.894045,0.4356343,363.726,0.01504189,275.6938
19895.640000000003,0.00169,6883.2677822018695,2844640.0,1.895939,0.4354644,363.4427,0.01501688,275.7879
20007.823000000004,0.00065,6933.562625474752,2810690.0,1.900974,0.4437884,377.4704,0.01494254,275.8297
20188.683000000005,0.000638,6983.857468747635,2913000.0,1.897966,0.4359039,364.1775,0.01499218,275.9267
20313.682000000004,0.000654,7034.1523120205175,2824250.0,1.906303,0.4389838,369.342,0.01486657,275.9342
20427.480000000003,0.000688,7084.4471552934,2961160.0,1.898716,0.4317289,357.2353,0.014986,276.0328
20608.917000000005,0.000741,7134.741998566283,2991000.0,1.900658,0.4373863,366.6595,0.01496071,276.1199
20724.888000000006,0.000886,7185.036841839165,3054970.0,1.901939,0.436488,365.1555,0.01494527,276.2211
20830.675000000007,0.000897,7235.331685112049,3100350.0,1.905264,0.4367411,365.5797,0.01489858,276.3236
20948.230000000007,0.00101,7285.626528384932,3063900.0,1.910805,0.4457923,380.8897,0.01481779,276.3694
21063.233000000007,0.00105,7335.921371657814,3174420.0,1.910745,0.4374575,366.7806,0.01482115,276.474
21238.785000000007,0.000802,7386.216214930697,3216450.0,1.915099,0.4378589,367.4546,0.01475941,276.5659
21349.02300000001,0.000681,7436.5110582035795,3175790.0,1.920892,0.4471059,383.1389,0.0146754,276.6062
21534.073000000008,0.00068,7486.805901476462,3284920.0,1.921523,0.4401818,371.3644,0.01466787,276.6958
21656.70200000001,0.000679,7537.100744749345,3333280.0,1.924047,0.4400947,371.218,0.01463413,276.7912
21765.06600000001,0.000671,7587.3955880222275,3379210.0,1.926672,0.4421316,374.6627,0.01459929,276.8869
21956.72800000001,0.000655,7637.69043129511,3338390.0,1.932765,0.4510001,389.8439,0.0145124,276.9282
22065.56400000001,0.000639,7687.985274567993,3466730.0,1.933217,0.4427891,375.7785,0.01450776,277.026
22249.24100000001,0.000625,7738.280117840875,3530420.0,1.938067,0.445388,380.2031,0.01444031,277.1246
22360.08600000001,0.000619,7788.574961113758,3495420.0,1.946292,0.4542833,395.5418,0.01432362,277.1683
22537.541000000012,0.000614,7838.869804386641,3605040.0,1.950423,0.451544,390.7864,0.01426524,277.2474
22650.71600000001,0.000616,7889.164647659523,3076840.0,1.817837,0.4142375,328.881,0.01642669,277.3377
22821.795000000013,0.000701,7939.459490932407,3152660.0,1.821775,0.4137383,328.0892,0.01636106,277.43
22985.28800000001,0.000699,7989.7543342052895,2532750.0,1.698962,0.3865852,286.4382,0.01881819,277.4674
23101.06600000001,0.000706,8040.049177478172,2637700.0,1.692782,0.3802085,277.067,0.01895836,277.5519
23265.55900000001,0.00071,8090.344020751055,2713540.0,1.692962,0.3802243,277.0903,0.01896008,277.6386
23382.479000000007,0.000723,8140.6388640239375,2713820.0,1.697941,0.3881758,288.8011,0.01885494,277.6786
23593.20100000001,0.000719,8190.93370729682,3631890.0,2.032763,0.4262478,348.2306,0.01315705,277.7555
23707.004000000008,0.000716,8241.228550569702,3575650.0,2.045355,0.4305181,355.2429,0.01299915,277.7622
23864.94000000001,0.000699,8291.523393842584,3739510.0,2.003773,0.4226693,342.4086,0.01354457,277.8442
23977.40300000001,0.000684,8341.818237115467,4608460.0,2.184728,0.4606668,406.7407,0.01139713,277.9339
24143.36300000001,0.000663,8392.11308038835,4589630.0,2.171139,0.4700066,423.4011,0.01154396,277.9775
24317.61300000001,0.000643,8442.407923661232,4734400.0,2.123525,0.4606974,406.7954,0.01206932,278.0766
24434.00600000001,0.000629,8492.702766934115,4808850.0,2.077949,0.4592961,404.3251,0.01260904,278.1826
24549.31500000001,0.000614,8542.997610206998,4746280.0,2.068661,0.4688617,421.3421,0.01272736,278.2238
24668.39800000001,0.00061,8593.292453479882,4902710.0,2.014256,0.4581583,402.3249,0.01342615,278.3503
24788.659000000007,0.000603,8643.587296752765,4947810.0,1.961908,0.456846,400.024,0.0141586,278.4871
24963.247000000007,0.000568,8693.882140025647,4885580.0,1.942074,0.4660152,416.2429,0.01445636,278.5563
25086.251000000007,0.000558,8744.17698329853,4993010.0,1.884455,0.4557782,398.1568,0.01535772,278.7104
25264.245000000006,0.00056,8794.471826571413,4983730.0,1.829817,0.4540584,395.1584,0.01629756,278.8885
25388.586000000007,0.000622,8844.766669844295,4876510.0,1.808369,0.4624144,409.8365,0.01669709,278.9798
25514.229000000007,0.000648,8895.061513117178,4926560.0,1.752192,0.4514986,390.7162,0.0177907,279.1684
25701.134000000005,0.000696,8945.35635639006,4730570.0,1.756057,0.455127,397.0213,0.01772444,279.1854
25828.896000000004,0.000764,8995.651199662943,4843460.0,1.697737,0.4430721,376.2685,0.01896422,279.3868
25962.536000000004,0.000792,9045.946042935826,4727790.0,1.648671,0.4460233,381.2981,0.02012428,279.5998
26090.074000000004,0.000854,9096.240886208709,4531000.0,1.627207,0.4528371,393.0375,0.02067443,279.7117
26218.611000000004,0.000849,9146.535729481591,4428250.0,1.580685,0.4418598,374.2135,0.02191805,279.9265
26403.963000000003,0.000832,9196.830572754474,4205470.0,1.53818,0.4427349,375.6977,0.02316385,280.1456
26533.170000000002,0.000843,9247.125416027357,3952160.0,1.511267,0.448969,386.3527,0.02401499,280.2651
26675.402000000002,0.000843,9297.42025930024,3791750.0,1.460313,0.4382067,368.0526,0.02573106,280.4739
26805.073,0.000805,9347.715102573122,3575310.0,1.460441,0.4396799,370.5314,0.0257457,280.4893
26935.787,0.000814,9398.009945846004,3505460.0,1.401994,0.427616,350.4776,0.02793857,280.7075
27121.778000000002,0.000817,9448.304789118887,3249550.0,1.351233,0.4357163,363.8819,0.03010043,280.9312
27326.712000000003,0.000894,9498.59963239177,3021430.0,1.323428,0.4438073,377.5219,0.03140351,281.0605
27460.227000000003,0.000919,9548.894475664652,2832490.0,1.277195,0.4323228,358.2366,0.03373368,281.3071
27647.017000000003,0.000936,9599.189318937535,2560100.0,1.241109,0.4350084,362.7017,0.03575515,281.5496
27784.044,0.00098,9649.484162210418,2340950.0,1.226166,0.439267,369.8382,0.03666355,281.6883
27914.04,0.00104,9699.779005483302,2239180.0,1.227328,0.4369536,365.953,0.03661214,281.7326
28048.43,0.00114,9750.073848756185,2093850.0,1.19165,0.4342455,361.4313,0.03884339,281.9553
28183.503,0.0012,9800.368692029067,1861690.0,1.17006,0.4421601,374.7268,0.04032189,282.1656
28364.994000000002,0.00111,9850.66353530195,1671180.0,1.15999,0.4380285,367.7569,0.04105554,282.2876
28498.218,0.00115,9900.958378574833,1501540.0,1.132473,0.4311544,356.3051,0.04309352,282.47
28608.568,0.00116,9951.253221847715,1125800.0,1.394725,0.3793509,275.8285,0.02842959,282.5429
28737.724,0.00128,10001.548065120598,1091580.0,1.393525,0.3787393,274.94,0.02848591,282.5861
28864.35,0.00137,10051.84290839348,1106030.0,1.394569,0.3829975,281.1576,0.02844758,282.6583
29039.841999999997,0.00146,10102.137751666363,1063660.0,1.396828,0.3844637,283.3143,0.02836287,282.6652
29160.345999999998,0.00138,10152.432594939246,1145150.0,1.39719,0.3965307,301.3784,0.02834884,282.74
29294.601,0.0015,10202.727438212129,1213870.0,1.400696,0.4148087,329.8031,0.02821455,282.8184
29410.843999999997,0.00136,10253.022281485011,1243020.0,1.404616,0.4299595,354.3354,0.02806502,282.8641
29587.433999999997,0.00149,10303.317124757894,1388300.0,1.405331,0.4525013,392.4637,0.02804096,282.9528
29699.968999999997,0.00168,10353.611968030777,1532230.0,1.410694,0.4778145,437.6018,0.02783689,283.0556
29877.028,0.00189,10403.90681130366,1586030.0,1.421717,0.4933728,466.5638,0.02741683,283.1117
30022.42,0.00219,10454.201654576542,1636870.0,1.428657,0.5031641,485.2663,0.02715646,283.1505
30133.271999999997,0.00245,10504.496497849424,1857350.0,1.432217,0.5197658,517.8176,0.02702529,283.2696
30310.862999999998,0.00262,10554.791341122307,2016510.0,1.452237,0.5382673,555.3388,0.02629635,283.3908
30423.574999999997,0.00278,10605.08618439519,2061900.0,1.476723,0.5487543,577.189,0.0254424,283.4565
30589.896999999997,0.00268,10655.381027668072,1830850.0,1.601227,0.4782592,438.4191,0.02164462,283.5317
30707.805999999997,0.00265,10705.675870940955,1927860.0,1.621343,0.4923301,464.5967,0.02111646,283.6068
30827.608999999997,0.00298,10755.970714213838,1977710.0,1.639452,0.5014383,481.9464,0.02065799,283.6584
30999.494999999995,0.00299,10806.26555748672,2060700.0,1.655833,0.5093352,497.2461,0.02025493,283.7326
31119.970999999994,0.00296,10856.560400759603,2038250.0,1.667201,0.5104321,499.3904,0.01998488,283.7421
31289.098999999995,0.00319,10906.855244032486,2130440.0,1.676857,0.5173907,513.0998,0.01975602,283.8159
31442.551999999996,0.00326,10957.150087305368,2169630.0,1.696411,0.5220064,522.2963,0.0193082,283.8887
31560.818999999996,0.0029,11007.444930578251,2186330.0,1.713189,0.525523,529.3575,0.0189367,283.9436
31737.502999999997,0.00292,11057.739773851134,2222990.0,1.729835,0.5272302,532.8029,0.01857758,284.0142
31937.845999999998,0.00291,11108.034617124016,2240150.0,1.74865,0.5283445,535.058,0.01818445,284.0837
32055.708,6.03e-05,11158.3294603969,2242370.0,1.762175,0.529308,537.0119,0.01791074,284.13
32227.466,6.07e-05,11208.624303669783,2279260.0,1.775886,0.5278232,534.0039,0.0176381,284.1986
32345.239,7.1e-05,11258.919146942666,2306990.0,1.791767,0.5252936,528.8984,0.01733098,284.2672
32517.953,7.67e-05,11309.213990215549,2312060.0,1.802395,0.5242254,526.7498,0.01713132,284.3071
32675.032000000003,8.23e-05,11359.508833488431,2367470.0,1.814934,0.5201544,518.6009,0.01689777,284.3761
32793.590000000004,8.97e-05,11409.803676761314,2412240.0,1.829611,0.515642,509.6428,0.01663177,284.4458
32966.721000000005,9.84e-05,11460.098520034197,2890930.0,1.955059,0.5447331,568.7705,0.01456943,284.485
33081.794,0.000109,11510.39336330708,3668190.0,2.212385,0.5926966,673.3408,0.0113789,284.5656
33232.686,0.000118,11560.688206579962,3663610.0,2.224279,0.5892785,665.5973,0.01126072,284.5989
33346.487,0.000129,11610.983049852844,3789280.0,2.241474,0.5845234,654.8995,0.01108989,284.68
33460.69,0.000129,11661.277893125727,3913370.0,2.261195,0.5787821,642.0983,0.01090039,284.7617
33648.126000000004,0.000131,11711.57273639861,3933500.0,2.273624,0.5769057,637.9421,0.01078462,284.795
33762.8,0.000121,11761.867579671492,4109360.0,2.289694,0.570802,624.5153,0.010635,284.8785
33952.732,0.000141,11812.162422944375,4272110.0,2.310748,0.5638194,609.3302,0.01044513,284.963
34089.24600000001,0.00016,11862.457266217258,4286870.0,2.325991,0.5617897,604.9514,0.01031174,284.992
34207.23500000001,0.000157,11912.75210949014,4359680.0,2.336203,0.5603221,601.7952,0.01022282,285.0311
34348.058000000005,0.000165,11963.046952763023,4519280.0,2.354794,0.551964,583.9763,0.01006341,285.1144
34468.476,0.000194,12013.341796035906,4631510.0,2.382928,0.5454703,570.3171,0.009830044,285.1959
34656.878000000004,0.00406,12063.636639308788,4634810.0,2.401704,0.5432253,565.6326,0.009679708,285.2276
34778.61000000001,0.00663,12113.931482581671,4745550.0,2.422682,0.5368919,552.5209,0.009513843,285.3062
34962.560000000005,0.00671,12164.226325854554,4821730.0,2.452782,0.5312291,540.9275,0.009284321,285.3832
35092.492000000006,0.00754,12214.521169127436,4826240.0,2.473259,0.5295536,537.5211,0.009133677,285.4184
35214.34700000001,0.00836,12264.816012400319,4919040.0,2.497055,0.5242705,526.8501,0.008961524,285.4932
35397.956000000006,0.00759,12315.110855673202,4932980.0,2.518302,0.522233,522.7634,0.008813251,285.5315
35518.8,0.00378,12365.405698946084,5035930.0,2.542675,0.517741,513.8095,0.008646247,285.6052
35641.493,0.00325,12415.700542218967,5117780.0,2.571738,0.5129592,504.3629,0.0084541,285.6784
35761.600000000006,0.00189,12465.99538549185,5133220.0,2.59107,0.512584,503.6257,0.008330546,285.7121
35881.50800000001,0.00149,12516.290228764732,5183470.0,2.605476,0.5125981,503.6537,0.008239651,285.7492
36061.155000000006,0.00119,12566.585072037617,5305240.0,2.62793,0.5067667,492.2603,0.008100487,285.8217
36180.50200000001,0.000577,12616.8799153105,5411740.0,2.654318,0.5018065,482.6717,0.007942232,285.8943
36366.29000000001,0.000411,12667.174758583382,5423040.0,2.670613,0.5027653,484.5182,0.007847594,285.9249
36505.92900000001,0.000329,12717.469601856264,5558640.0,2.688303,0.4974674,474.3614,0.007745472,285.9934
36627.24900000001,0.000278,12767.764445129147,5687330.0,2.708327,0.4937769,467.3499,0.007633179,286.062
36806.49400000001,0.000277,12818.05928840203,5707600.0,2.72088,0.496024,471.6136,0.007564718,286.0903
36989.866000000016,0.000284,12868.354131674912,5896860.0,2.730749,0.490005,460.2379,0.007510873,286.1617
37110.11100000002,0.000296,12918.648974947795,6116930.0,2.73683,0.4868958,454.4166,0.007479393,286.2391
37294.55500000002,0.000307,12968.943818220678,6373350.0,2.73833,0.4839096,448.8601,0.007473208,286.3205
37415.53600000002,0.000349,13019.23866149356,6463670.0,2.739664,0.4885593,457.5277,0.007468051,286.359
37601.94300000002,0.000367,13069.533504766443,6871650.0,2.718407,0.4819386,445.212,0.007586311,286.4506
37740.95400000002,0.000392,13119.828348039326,7222130.0,2.703915,0.4790197,439.836,0.007670294,286.5482
37868.28500000002,0.000417,13170.123191312208,7300680.0,2.701845,0.484732,450.3889,0.007684665,286.5914
38049.26000000002,0.00036,13220.418034585091,7503090.0,2.691618,0.4846726,450.2789,0.007744332,286.654
38176.894000000015,0.000355,13270.712877857974,7818700.0,2.676741,0.4759791,434.2713,0.007832355,286.763
38282.26000000002,0.000364,13321.007721130856,10933400.0,3.182173,0.5380037,554.8254,0.005543983,286.8721
38409.97800000002,0.000393,13371.302564403739,10957300.0,3.182488,0.5443018,567.8919,0.005544992,286.9206
38537.879000000015,0.000413,13421.597407676622,11263200.0,3.167701,0.5367311,552.2048,0.005597822,287.0263
38717.127000000015,0.000434,13471.892250949504,11463600.0,3.161464,0.5346892,548.0121,0.005621991,287.1353
38845.81400000001,0.000461,13522.187094222387,11429700.0,3.165057,0.5407597,560.5267,0.00561136,287.1833
38986.18700000001,0.000482,13572.48193749527,11535300.0,3.160245,0.5415007,562.0643,0.0056294,287.2552
