radius,qratio
0.00022660553647297276, 0.011055059490352737
0.0002599280820769091, 0.009454592099097001
0.0002981536244799055, 0.008156702935048008
0.0003419899295319555, 0.0068401960918565196
0.0003922627610633411, 0.0056246389765769594
0.0004499132202552079, 0.004510494010551944
0.0005160527476888584, 0.0037211014580806213
0.0005882421285226147, 0.003123970283946476
0.0006911711202785146, 0.0035888943036881077
0.0007429078987274948, 0.004835443357784226
0.0007729067760774672, 0.0063212545911692265
0.0008097131625354114, 0.008405176176567341
0.000862149938536256, 0.011107253714652364
0.0009179954045576722, 0.014865089389688682
0.0009774517348448417, 0.019775279907632483
0.0010407367377137764, 0.025807114819975333
0.001114438795661357, 0.03399938281526703
0.0011879520896305215, 0.0447488448832984
0.0012800473528581068, 0.05895940282156272
0.0013874002217624693, 0.07891000216290107
0.001497242836301923, 0.10389646121091214
0.001615764485409263, 0.1354753300661182
0.0017621987610109485, 0.17736488489742236
0.0019237464555284173, 0.23168627855053844
0.00210358223241098, 0.29988884496796764
0.0023265468600953414, 0.393330695162073
0.0025983479036721584, 0.5167037338056741
0.00290841096605635, 0.7015417752399263
0.0033291664924296176, 0.8748831035313761
0.00366736517098677, 1.0733264750442315
0.004181132370584062, 1.4743609416564678
0.004797997833407458, 1.845143810995029
0.005505752904993876, 2.2642731574857575
0.0063177563526812044, 2.7186423314710906
0.007249340801944069, 3.1937431890000525
0.008318120841176276, 3.682933424435361
0.009544287729447806, 4.173567798569885
0.010951017243232122, 4.657880466523298
0.012564840850693069, 5.108447484547827
0.014416280167032969, 5.52973504560385
0.01654033035287218, 5.92082250900169
0.018977009977100272, 6.243484291408574
0.021772523321866494, 6.5479170547328325
0.02497945218214758, 6.77049379018096
0.02865852941910669, 6.95496448553138
0.032879197839969516, 7.090112399346933
0.03772118884656766, 7.180732051795761
0.043275926687259825, 7.2250643673209325
0.0496485226096417, 7.253826865734618
0.056958549917303376, 7.172324205129984
0.06534566396044739, 7.169523777847077
0.07496695916992535, 7.0967058275453025
0.08600455211085453, 7.001675772749708
0.09866759867073523, 6.930562586679443
0.11319470237942374, 6.837757310769584
0.12986114329891055, 6.768308978152333
0.1489811392536154, 6.684964973863437
0.17091666541600908, 6.617068491151434
0.19608167387656028, 6.542720330185592
0.22495268286734957, 6.490413772745847
0.2580768373315864, 6.487879596753976
0.29607599627188175, 6.436011470093565
0.3396730181373449, 6.433498535429923
0.3896929781678524, 6.480283004033065
0.4470809994239703, 6.555952629161079
0.5129221130436533, 6.654247378715773
0.5884631341616502, 6.79095593811331
0.6751295205669587, 6.930473114195626
0.7745672691445472, 7.134852342311136
0.888654124196909, 7.369336662640379
1.0195424882269057, 7.594938666622351
1.1602957064120147, 7.467178843526912
1.3420050357027389, 8.128911352302886
1.5396722796879763, 8.405229231167123
1.7664544213861382, 8.69093970479233
2.0266496775973994, 9.025660213537513
2.3251402268011576, 9.261467035797727
2.6675836008271565, 9.472383873955309
3.0604208073515244, 9.572543686246311
3.511066028631479, 9.568806095510158
4.028068502147664, 9.565069964112816
4.621148958207002, 9.46792142107682
5.301514263353565, 9.310618598710082
6.0819751909346245, 9.056591056922395
6.977323009228888, 8.79988937097066
8.004410146217813, 8.485419107901937
9.182665990141805, 8.1643544089601
10.534413075497874, 7.889790441429772
12.084970446329454, 7.525301130404671
13.863871387393928, 7.23267028516702
15.904567811202922, 6.928706269303339
18.245711364033525, 6.659274769240482
20.93144461475767, 6.393342222069257
24.012396330398445, 6.1113041864750155
27.54710776150336, 5.892912414238245
31.601797244137913, 5.62680893384689
36.25356425561622, 5.408003357064099
41.58991777906538, 5.180723755837323
47.711930588657694, 4.979264764982035
54.735034039192186, 4.780422006892543
62.79222865809492, 4.609590249501802
72.03582015417531, 4.464301071522447
82.640153028168, 4.323591247475955
94.80622934557177, 4.2148137141948325
108.7640231293253, 4.13124522724149
124.7770472875514, 4.058178070887271
143.14779764008262, 3.9907543106101424
164.22603057045407, 3.9848467273970236
188.4073079377344, 3.9659474039465805
216.15148479543706, 3.9860815766768365
247.9835695913967, 4.041434558013875
284.50727307062664, 4.147022162460635
326.41344870911746, 4.292667971606211
374.49350664292103, 4.457994628577251
429.6650227553695, 4.721495608462969
474.83354499002047, 4.959812574028989
